id, name,url,descr
"1","Lounge-Radio", "http://nl1.streamhosting.ch/", "Swiss Chill"
"2","Zen fm","http://lb.zenfm.be/zenfm.mp3", "Cool Grooves and Tasty tunes"
"3","Soma - Groove Salad","http://ice1.somafm.com/groovesalad-256-mp3", "A nicely chilled plate of ambient/downtempo beats and grooves"
"4","The Jazz Groove", "http://east-mp3-128.streamthejazzgroove.com/", "Laid Back Jazz"
"5","Soma - Beat Blender", "http://ice6.somafm.com/beatblender-128-mp3", "A late night blend of deep-house and downtempo chill"
"6","Scratch Radio", "http://www.scratchradio.ca:8000/", "Canadas finest Reggae"
"7","Soma - Illinois Street Lounge", "http://ice4.somafm.com/illstreet-128-mp3", "Classic bachelor pad, playful exotica and vintage music of tomorrow"
"8","ChillTrax", "http://server1.chilltrax.com:9000/", "Ambient Chill"
"9","Soma - Lush", "http://ice6.somafm.com/lush-128-mp3", "Sensuous and mellow vocals, mostly female, with an electronic influence"
"10","Soma - Underground 80s", "http://ice4.somafm.com/u80s-256-mp3", "Early 80s UK Synthpop and a bit of New Wave"


